BlockSize,BlockName,Op,IOPS,BW_MBs,Avg_Lat_us,P99_Lat_us
65536,64KB,WRITE,6710.216667,419.39,148.74,195.58
65536,64KB,READ,6288.15,393.01,158.78,203.78
262144,256KB,WRITE,4758.966667,1189.74,209.88,284.67
262144,256KB,READ,3139.266667,784.82,318.29,1548.29
1048576,1MB,WRITE,1882.7,1882.70,530.87,1499.14
1048576,1MB,READ,1861.8,1861.80,536.81,790.53
4194304,4MB,WRITE,874.15,3496.60,1143.59,4292.61
4194304,4MB,READ,1293.533333,5174.13,772.73,1875.97
16777216,16MB,WRITE,261.216667,4179.47,3827.73,31850.50
16777216,16MB,READ,320.483333,5127.73,3119.71,9240.58
67108864,64MB,WRITE,92.333333,5909.33,10830.14,57409.54
67108864,64MB,READ,156.6,10022.40,6385.28,6651.90
268435456,256MB,WRITE,24.933333,6382.93,40107.41,193986.56
268435456,256MB,READ,34.252101,8768.54,29435.30,39583.74
